Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
B Accountancy;B Accountancy;34406;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
Ad Accountancy;Ad Accountancy;80008;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accounting and Control;M Accounting and Control;60047;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accountancy;M Accountancy;60060;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accountancy and Controlling;M Accountancy and Controlling;60643;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accountancy and Control;M Accountancy and Control;60900;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accounting, Auditing and Control;M Accounting, Auditing and Control;69313;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
B Business Studies;B Business Studies;34145;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Food and Business;B Food and Business;34432;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B International Business;B International Business;50019;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Bedrijfskunde;B Bedrijfskunde;50645;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Business Administration;B Business Administration;50897;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B International Business Administration;B International Business Administration;50952;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Entrepreneurship and Business Innovation;B Entrepreneurship and Business Innovation;59340;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;Dit is zowel innovatie als ondernemerschap, maar ik wil niet diezelfde subcategorie maken alleen voor dez eopleiding;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
Ad Bedrijfskunde;Ad Bedrijfskunde;80074;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Business Research (research);M Business Research (research);60013;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M International Business;M International Business;60019;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Global Business & Sustainability;M Global Business & Sustainability;60456;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Business Administration;M Business Administration;60644;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M International Business and Management;M International Business and Management;60649;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Research Master in Business (research);M Research Master in Business (research);60908;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Master in International Business and Management;M Master in International Business and Management;45289;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M Interdisciplinary Business Professional;M Interdisciplinary Business Professional;49291;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M Interdisciplinary Business Professional;M Interdisciplinary Business Professional;49291;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M Integrale Bedrijfsvoering;M Integrale Bedrijfsvoering;49398;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M Integrale Bedrijfsvoering;M Integrale Bedrijfsvoering;49398;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
B Business IT & Management;B Business IT & Management;39118;Bedrijfstechniek en Technische bedrijfsvoering;Technische Bedrijfsvoering en Econometrie;informatica;informatica;ECONOMIE;Bachelor - informatica;;bedrijfsinformatica;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Business Intelligence and Smart Services;M Business Intelligence and Smart Services;60959;Bedrijfstechniek en Technische bedrijfsvoering;Technische Bedrijfsvoering en Econometrie;informatica;informatica;ECONOMIE;Master - informatica;Marketing? Of ICT?;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
B Bestuurskunde/Overheidsmanagement;B Bestuurskunde/Overheidsmanagement;34464;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;bestuurskunde algemeen;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
Ad Officemanagement;Ad Officemanagement;80007;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;;;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
Ad Management;Ad Management;80113;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Strategic Management;M Strategic Management;60066;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M International Management;M International Management;60407;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Organisational Change & Consulting;M Organisational Change & Consulting;60457;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;organisatiekunde, kwaliteitszorg;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Sustainable Business Transition;M Sustainable Business Transition;49401;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M People, Organisations & Change;M People, Organisations & Change;60991;Bestuurskunde en Organisatiewetenschap;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;ROA NOG NIET INGEDEELD;;;;;;
B Communicatie;B Communicatie;34405;Communicatie;Marketing, Communicatie en Mediaproductie;journalistiek, gedrag en maatschappij;journalistiek, informatievoorziening;ECONOMIE;Bachelor - communicatie en journalistiek;;communicatiewetenschappen;journalistiek;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Communicatie en Journalistiek
Ad Crossmediale Communicatie;Ad Crossmediale Communicatie;80035;Communicatie;Marketing, Communicatie en Mediaproductie;journalistiek, gedrag en maatschappij;journalistiek, informatievoorziening;ECONOMIE;Bachelor - communicatie en journalistiek;Combi communicatie, marketing en media;communicatiewetenschappen;journalistiek;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Communicatie en Journalistiek
Ad Communicatie;Ad Communicatie;80139;Communicatie;Marketing, Communicatie en Mediaproductie;journalistiek, gedrag en maatschappij;journalistiek, informatievoorziening;ECONOMIE;Bachelor - communicatie en journalistiek;;communicatiewetenschappen;journalistiek;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Communicatie en Journalistiek
M Content & Media Strategy;M Content & Media Strategy;45284;Communicatie;Marketing, Communicatie en Mediaproductie;journalistiek, gedrag en maatschappij;journalistiek, informatievoorziening;ECONOMIE;Master - communicatie en journalistiek;;;;;;
M International Communication;M International Communication;49141;Communicatie;Marketing, Communicatie en Mediaproductie;journalistiek, gedrag en maatschappij;journalistiek, informatievoorziening;ECONOMIE;Master - communicatie en journalistiek;;;;;;
M Strategische Communicatie (joint degree);M Strategische Communicatie (joint degree);49507;Communicatie;Marketing, Communicatie en Mediaproductie;journalistiek, gedrag en maatschappij;journalistiek, informatievoorziening;ECONOMIE;ROA NOG NIET INGEDEELD;;;;;;
M Data Science and Business Analytics;M Data Science and Business Analytics;60984;Data Science;Data Science en Kunstmatige Intelligentie;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Research Master Business Data Science (joint degree);M Research Master Business Data Science (joint degree);65024;Data Science;Data Science en Kunstmatige Intelligentie;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Technology and Operations Management;M Technology and Operations Management;66277;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;Of iets met data?;bedrijfstechniek, technische bedrijfsvoering;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Econometrie en Operationele Research;B Econometrie en Operationele Research;56833;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Bachelor - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
B Econometrics and Data Science;B Econometrics and Data Science;59332;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Bachelor - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Econometrics and Mathematical Economics;M Econometrics and Mathematical Economics;60056;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Business Analytics and Operations Research;M Business Analytics and Operations Research;60057;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;Andere business analytics in deze cat?;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Econometrics and Management Science;M Econometrics and Management Science;60079;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Econometrics;M Econometrics;60177;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Econometrics and Operations Research;M Econometrics and Operations Research;60307;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Econometrics, Operations Research and Actuarial Studies;M Econometrics, Operations Research and Actuarial Studies;60646;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
B Actuariële Wetenschappen;B Actuariele Wetenschappen;56411;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;wiskunde, natuurwetenschappen;wiskunde en statistiek;ECONOMIE;Bachelor - wis-, schei-, natuurkunde en geologie;;actuariaat;statistiek;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
B Business Analytics;B Business Analytics;56856;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;wiskunde, natuurwetenschappen;wiskunde en statistiek;ECONOMIE;Bachelor - wis-, schei-, natuurkunde en geologie;;wiskunde;wiskunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Quantitative Finance and Actuarial Science;M Quantitative Finance and Actuarial Science;60058;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;wiskunde, natuurwetenschappen;wiskunde en statistiek;ECONOMIE;Master - wis-, schei-, natuurkunde en geologie;;actuariaat;statistiek;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Actuarial Science and Mathematical Finance;M Actuarial Science and Mathematical Finance;66411;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;wiskunde, natuurwetenschappen;wiskunde en statistiek;ECONOMIE;Master - wis-, schei-, natuurkunde en geologie;;actuariaat;statistiek;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Financial Economics;M Financial Economics;60321;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;Financieel? Zie ook ISCED hier;geld- en bankzaken;financiële dienstverlening;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
B Kunst en Economie;B Kunst en Economie;34951;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;Zeer breed op business gebied: odnernemerschap, advies, economie, marketing;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Economie en Bedrijfseconomie;B Economie en Bedrijfseconomie;50950;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;bedrijfseconomie;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Economics and Business Economics;B Economics and Business Economics;59318;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;bedrijfseconomie;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Research Master in Economics and Business (research);M Research Master in Economics and Business (research);60315;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;Economie and bedrijfskunde;bedrijfseconomie;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M International Economics and Business;M International Economics and Business;60648;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;Economie and bedrijfskunde;bedrijfseconomie;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Economics and Business;M Economics and Business;60652;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;Economie and bedrijfskunde;bedrijfseconomie;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Business Economics;M Business Economics;60901;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;bedrijfseconomie;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Master Circulaire Economie;M Master Circulaire Economie;49142;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M Master Circulaire Economie;M Master Circulaire Economie;49142;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
B Bedrijfseconomie;B Bedrijfseconomie;50750;Economie ;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;bedrijfseconomie;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Economie;B Economie;56401;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Bachelor - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
B Fiscale Economie;B Fiscale Economie;56402;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Bachelor - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Economic and Financial Research (research);M Economic and Financial Research (research);60012;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Digital Business and Economics;M Digital Business and Economics;60018;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;Gaat breed over digitalisering, AI, robots, etc en hoe daarmee om te gaan..?;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Tinbergen Institute Master of Philosophy in Economics (research);M Tinbergen Institute Master of Philosophy in Economics (research);60162;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Economics of Competition and Regulation;M Economics of Competition and Regulation;60388;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Economics of Public Policy and Management;M Economics of Public Policy and Management;60389;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Spatial, Transport and Environmental Economics;M Spatial, Transport and Environmental Economics;60444;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;Meer in de richting economie;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Multidisciplinary Economics (research);M Multidisciplinary Economics (research);60907;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Research Master in Economics (research);M Research Master in Economics (research);60909;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Tinbergen Institute Research Master in Economics (joint degree);M Tinbergen Institute Research Master in Economics (joint degree);65027;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Economics;M Economics;66401;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
